# lr mxnet
1-20 time
17:57:50 - 17:59:47
18:01:48 - 18:03:45
18:05:45 - 18:07:44
18:09:44 - 18:11:42
18:13:42 - 18:15:41
18:17:41 - 18:19:39
18:21:39 - 18:23:37
18:25:37 - 18:27:35
18:29:35 - 18:31:33
18:33:33 - 18:35:32
18:37:33 - 18:39:32
18:41:32 - 18:43:30
18:45:30 - 18:47:26
18:49:26 - 18:51:25
18:53:26 - 18:55:25
18:57:25 - 18:59:23
19:01:23 - 19:03:21
19:05:21 - 19:07:19
19:09:19 - 19:11:19
19:13:19 - 19:15:17

19:15 - 17:57 - 00:38 = 40
